Matrix Size,Sparsity,Partitions Number,Gauss-Seidel OMP Execution Time (ms)
10000,0.1,10000,120777
10000,0.2,2325,26176
10000,0.3,1688,22876
10000,0.4,1306,18517
10000,0.5,1009,16059
10000,0.6,766,12686
10000,0.7,562,9981
10000,0.8,377,6980
10000,0.9,201,4267
10000,0.91,185,3919
10000,0.92,168,3980
10000,0.93,149,3518
10000,0.94,131,3294
10000,0.95,113,3323
10000,0.96,95,2909
10000,0.97,76,2579
10000,0.98,56,2031
10000,0.99,34,1833
10000,0.999,9,1586
