Matrix Size,Sparsity,Partitions Number,Gauss-Seidel OMP Execution Time (ms)
10000,0.1,10000,101649
10000,0.2,2331,29991
10000,0.3,1697,24007
10000,0.4,1306,18572
10000,0.5,1013,15401
10000,0.6,768,11343
10000,0.7,562,9940
10000,0.8,377,6957
10000,0.9,203,4152
10000,0.91,184,3891
10000,0.92,166,3883
10000,0.93,149,3588
10000,0.94,130,3286
10000,0.95,115,3102
10000,0.96,95,2765
10000,0.97,76,2490
10000,0.98,56,2036
10000,0.99,34,1772
10000,0.999,9,1662
