Matrix Size,Sparsity,Jacobi OMP Execution Time (ms),Gauss-Seidel Execution Time (ms),Gauss-Seidel OMP Execution Time (ms)
100,0.1,26,4,14
200,0.1,53,9,29
300,0.1,94,17,51
400,0.1,132,54,67
500,0.1,159,42,96
600,0.1,276,62,121
700,0.1,375,81,149
800,0.1,497,109,176
900,0.1,513,137,233
1000,0.1,773,170,307
1100,0.1,1463,222,345
1200,0.1,1069,270,440
1300,0.1,1639,316,474
1400,0.1,1837,396,591
1500,0.1,2333,459,685
1600,0.1,3103,535,768
1700,0.1,3709,701,873
1800,0.1,3849,803,1065
1900,0.1,7948,1007,1182
2000,0.1,13773,1667,1369
100,0.9,2,3,4
200,0.9,36,8,7
300,0.9,47,17,10
400,0.9,13,28,13
500,0.9,49,43,18
600,0.9,107,60,27
700,0.9,114,114,31
800,0.9,106,108,36
900,0.9,157,137,43
1000,0.9,191,176,50
1100,0.9,209,228,56
1200,0.9,127,267,63
1300,0.9,172,483,71
1400,0.9,539,620,97
1500,0.9,318,589,104
1600,0.9,658,678,118
1700,0.9,1040,819,131
1800,0.9,791,779,145
1900,0.9,704,1001,159
2000,0.9,1219,1134,149
100,0.99,2,3,4
200,0.99,13,8,7
300,0.99,4,15,10
400,0.99,7,27,13
500,0.99,10,41,18
600,0.99,35,58,21
700,0.99,19,76,25
800,0.99,33,99,28
900,0.99,33,132,34
1000,0.99,67,173,38
1100,0.99,55,212,44
1200,0.99,78,301,50
1300,0.99,56,353,55
1400,0.99,116,392,60
1500,0.99,100,460,67
1600,0.99,56,710,75
1700,0.99,139,732,94
1800,0.99,192,821,157
1900,0.99,76,1010,96
2000,0.99,173,1219,131
