Matrix Size,Sparsity,Partitions Number,Gauss-Seidel OMP Execution Time (ms)
10000,0.1,10000,113463
10000,0.2,2322,29655
10000,0.3,1698,22990
10000,0.4,1300,16174
10000,0.5,1012,15585
10000,0.6,772,11697
10000,0.7,565,9028
10000,0.8,377,7180
10000,0.9,202,3970
10000,0.91,185,4343
10000,0.92,167,3702
10000,0.93,150,3653
10000,0.94,131,3348
10000,0.95,113,3171
10000,0.96,94,2821
10000,0.97,76,2520
10000,0.98,56,2025
10000,0.99,34,1766
10000,0.999,9,1518
