Matrix Size,Sparsity,Partitions Number,Gauss-Seidel OMP Execution Time (ms)
10000,0.1,10000,117834
10000,0.2,2332,29860
10000,0.3,1703,23832
10000,0.4,1303,18699
10000,0.5,1009,16215
10000,0.6,768,12573
10000,0.7,564,9786
10000,0.8,375,7148
10000,0.9,202,4139
10000,0.91,184,3857
10000,0.92,167,3881
10000,0.93,149,3745
10000,0.94,131,3515
10000,0.95,114,3080
10000,0.96,95,3014
10000,0.97,76,2600
10000,0.98,56,2076
10000,0.99,34,2200
10000,0.999,9,1473
