OMP_NUM_THREADS,Execution Time (ms)
1,5647
2,2831
4,1441
8,795
12,611
16,475
20,391
24,348
28,336
32,291
36,277
40,268
44,256
48,249
52,267
56,246
60,255
64,232
68,226
72,224
76,216
80,208
84,207
88,193
92,235
96,201
100,307
104,188
108,218
112,213
116,200
120,203
124,200
128,190
