OMP_NUM_THREADS,Execution Time (ms)
1,5586
2,2865
4,1442
8,792
12,605
16,480
20,545
24,357
28,335
32,296
36,278
40,262
44,316
48,248
52,266
56,235
60,241
64,230
68,221
72,227
76,211
80,318
84,210
88,202
92,186
96,190
100,250
104,185
108,263
112,192
116,191
120,196
124,246
128,360
