OMP_NUM_THREADS,Execution Time (ms)
1,5602.4
2,2883.2
4,1451.8
8,811.2
12,606.0
16,565.6
20,426.2
24,345.4
28,322.2
32,290.6
36,283.0
40,267.0
44,270.2
48,253.4
52,259.8
56,238.8
60,256.8
64,229.2
68,226.4
72,229.6
76,219.4
80,232.4
84,266.4
88,203.0
92,217.2
96,205.2
100,224.6
104,188.0
108,232.0
112,218.4
116,260.0
120,207.8
124,244.2
128,263.0
