OMP_NUM_THREADS,Execution Time (ms)
1,5615
2,2849
4,1473
8,827
12,605
16,499
20,383
24,331
28,314
32,290
36,274
40,264
44,274
48,254
52,245
56,246
60,249
64,222
68,228
72,249
76,252
80,204
84,312
88,208
92,200
96,233
100,179
104,189
108,296
112,253
116,313
120,247
124,260
128,292
