OMP_NUM_THREADS,Execution Time (ms)
1,5602
2,2868
4,1440
8,790
12,603
16,512
20,392
24,337
28,313
32,288
36,276
40,273
44,253
48,248
52,256
56,234
60,246
64,239
68,227
72,218
76,213
80,212
84,211
88,208
92,254
96,191
100,200
104,181
108,194
112,193
116,195
120,213
124,193
128,211
