OMP_NUM_THREADS,Execution Time (ms)
1,5562
2,3003
4,1463
8,852
12,606
16,862
20,420
24,354
28,313
32,288
36,310
40,268
44,252
48,268
52,265
56,233
60,293
64,223
68,230
72,230
76,205
80,220
84,392
88,204
92,211
96,211
100,187
104,197
108,189
112,241
116,401
120,180
124,322
128,262
